date_mutation,valeur_fonciere,code_postal,nom_commune,id_parcelle,type_local,surface_reelle_bati,surface_terrain,nombre_pieces_principales,agent,prixcible,prixvente_initial,evaluation_agent
2014-01-03,210000.0,31000,Toulouse,31555815AC0067,Appartement,70.0,70.0,3.0,1,206000,216000,Renove
2014-02-07,162500.0,31500,Toulouse,31555807AB0464,Appartement,67.0,67.0,3.0,1,155000,163000,Ancien
2014-02-18,381000.0,31200,Toulouse,31555802AC0160,Appartement,100.0,100.0,4.0,1,391000,411000,Renove
2014-02-24,159900.0,31200,Toulouse,31555830AE0006,Appartement,57.0,57.0,3.0,1,170000,178000,Renove
2014-02-26,58000.0,31100,Toulouse,31555843AT0121,Appartement,34.0,34.0,2.0,1,62000,65000,Ancien
2014-03-21,70770.0,31200,Toulouse,31555801AC0340,Appartement,37.0,37.0,2.0,1,79000,83000,Ancien
2014-04-01,94340.0,31300,Toulouse,31555844AO0116,Appartement,42.0,42.0,2.0,1,92000,97000,Ancien
2014-04-04,57650.0,31000,Toulouse,31555826AE0085,Appartement,16.0,16.0,1.0,1,57000,60000,Renove
2014-04-10,115000.0,31400,Toulouse,31555812AC0472,Appartement,38.0,38.0,2.0,1,119000,125000,Ancien
2014-04-28,102000.0,31300,Toulouse,31555845AV0120,Appartement,52.0,52.0,3.0,1,103000,108000,Ancien
2014-05-02,82000.0,31300,Toulouse,31555828AL0104,Appartement,31.0,31.0,2.0,1,82000,86000,Ancien
2014-05-26,145000.0,31400,Toulouse,31555813AD0040,Appartement,45.0,45.0,2.0,1,145000,152000,Renove
2014-06-04,100000.0,31200,Toulouse,31555830AI0620,Appartement,51.0,51.0,3.0,1,100000,105000,Ancien
2014-06-07,82000.0,31000,Toulouse,31555821AB0537,Appartement,18.0,18.0,1.0,1,87000,91000,Renove
2014-06-13,155000.0,31200,Toulouse,31555803AB0451,Appartement,66.0,66.0,3.0,1,166000,174000,Ancien
2014-06-17,115000.0,31000,Toulouse,31555827AE0050,Appartement,36.0,36.0,2.0,1,119000,125000,Renove
2014-07-02,188250.0,31000,Toulouse,31555815AC0091,Appartement,58.0,58.0,3.0,1,202000,212000,Ancien
2014-07-04,100000.0,31200,Toulouse,31555831AR0242,Appartement,50.0,50.0,3.0,1,99000,104000,Ancien
2014-07-09,55000.0,31400,Toulouse,31555813AB0150,Appartement,16.0,16.0,1.0,1,54000,57000,Renove
2014-07-10,320400.0,31200,Toulouse,31555802AC0060,Appartement,132.0,132.0,6.0,1,340000,357000,Ancien
2014-07-25,79500.0,31000,Toulouse,31555824AB0383,Appartement,34.0,34.0,1.0,1,81000,85000,Renove
2014-07-28,74000.0,31400,Toulouse,31555813AD0397,Appartement,21.0,21.0,1.0,1,73000,77000,Ancien
2014-08-01,215000.0,31500,Toulouse,31555804AD0392,Appartement,60.0,60.0,3.0,1,205000,215000,Renove
2014-08-18,178000.0,31300,Toulouse,31555828AK0263,Appartement,67.0,67.0,4.0,1,186000,195000,Ancien
2014-08-20,115000.0,31200,Toulouse,31555803AB0513,Appartement,65.0,65.0,4.0,1,125000,131000,Renove
2014-08-27,120000.0,31300,Toulouse,31555828AE0026,Appartement,39.0,39.0,2.0,1,119000,125000,Renove
2014-08-29,130000.0,31000,Toulouse,31555822AB0637,Appartement,37.0,37.0,2.0,1,124000,130000,Renove
2014-08-29,100000.0,31400,Toulouse,31555839BM0109,Appartement,35.0,35.0,1.0,1,100000,105000,Renove
2014-09-12,210000.0,31400,Toulouse,31555814AD0252,Appartement,70.0,70.0,3.0,1,221000,232000,Ancien
2014-09-22,214500.0,31000,Toulouse,31555816AB0177,Appartement,56.0,56.0,3.0,1,204000,214500,Renove
2014-09-23,71000.0,31400,Toulouse,31555839BM0183,Appartement,27.0,27.0,1.0,1,68000,71000,Ancien
2014-10-07,90000.0,31500,Toulouse,31555805AE0027,Appartement,34.0,34.0,2.0,1,92000,97000,Ancien
2014-10-09,205000.0,31200,Toulouse,31555830AI0093,Appartement,61.0,61.0,3.0,1,228000,239000,Renove
2014-12-03,67000.0,31200,Toulouse,31555802AB0177,Appartement,43.0,43.0,2.0,1,69000,72000,Ancien
2014-12-30,128000.0,31200,Toulouse,31555830AB0482,Appartement,62.0,62.0,3.0,1,122000,128000,Ancien
2015-02-09,58280.0,31300,Toulouse,31555846AC0206,Appartement,22.0,22.0,1.0,1,57000,60000,Ancien
2015-03-07,100600.0,31200,Toulouse,31555831AR0367,Appartement,28.0,28.0,2.0,1,96000,101000,Renove
2015-03-10,253800.0,31000,Toulouse,31555826AC0048,Appartement,82.0,82.0,4.0,1,253000,266000,Renove
2015-03-10,180170.0,31300,Toulouse,31555844AO0101,Appartement,77.0,77.0,3.0,1,175000,184000,Renove
2015-03-13,176300.0,31200,Toulouse,31555802AB0068,Appartement,66.0,66.0,3.0,1,168000,176300,Renove
2015-03-21,68000.0,31200,Toulouse,31555830AY0316,Appartement,38.0,38.0,2.0,1,71000,75000,Ancien
2015-03-25,110800.0,31000,Toulouse,31555826AB0213,Appartement,69.0,69.0,3.0,1,119000,125000,Ancien
2015-04-17,85000.0,31000,Toulouse,31555816AB0315,Appartement,20.0,20.0,1.0,1,87000,91000,Renove
2015-05-12,142000.0,31000,Toulouse,31555817AB0009,Appartement,33.0,33.0,1.0,1,149000,156000,Renove
2015-05-13,73000.0,31400,Toulouse,31555839AC0184,Appartement,21.0,21.0,1.0,1,70000,74000,Renove
2015-05-19,136500.0,31000,Toulouse,31555816AB0492,Appartement,39.0,39.0,2.0,1,143000,150000,Renove
2015-06-08,287500.0,31500,Toulouse,31555835AE0145,Appartement,106.0,106.0,5.0,1,288000,302000,Renove
2015-06-15,120000.0,31100,Toulouse,31555840BR0021,Appartement,77.0,77.0,3.0,1,119000,125000,Renove
2015-06-24,69500.0,31500,Toulouse,31555806AD0660,Appartement,28.0,28.0,1.0,1,72000,76000,Renove
2015-07-07,135050.0,31400,Toulouse,31555813AB0603,Appartement,46.0,46.0,2.0,1,129000,135050,Renove
2015-07-10,219000.0,31300,Toulouse,31555844AD0003,Appartement,73.0,73.0,3.0,1,223000,234000,Renove
2015-07-15,382276.0,31000,Toulouse,31555821AC0409,Appartement,132.0,132.0,4.0,1,382000,401000,Ancien
2015-07-16,200000.0,31000,Toulouse,31555826AD0173,Appartement,80.0,80.0,3.0,1,208000,218000,Ancien
2015-07-20,65500.0,31400,Toulouse,31555814AB0402,Appartement,24.0,24.0,1.0,1,67000,70000,Ancien
2015-07-30,111000.0,31200,Toulouse,31555830AB0380,Appartement,43.0,43.0,2.0,1,121000,127000,Ancien
2015-08-05,80000.0,31400,Toulouse,31555813AD0523,Appartement,36.0,36.0,2.0,1,76000,80000,Ancien
2015-08-06,186040.0,31000,Toulouse,31555826AD0039,Appartement,46.0,46.0,2.0,1,184000,193000,Renove
2015-08-26,129000.0,31500,Toulouse,31555808AB0397,Appartement,52.0,52.0,2.0,1,132000,139000,Ancien
2015-09-18,62000.0,31000,Toulouse,31555822AB0028,Appartement,24.0,24.0,1.0,1,71000,75000,Renove
2015-09-25,122000.0,31200,Toulouse,31555833AK0277,Appartement,47.0,47.0,2.0,1,125000,131000,Ancien
2015-10-01,168000.0,31000,Toulouse,31555821AC0331,Appartement,57.0,57.0,3.0,1,168000,176000,Renove
2015-10-29,212283.0,31200,Toulouse,31555830AB0164,Appartement,59.0,59.0,3.0,1,213000,224000,Ancien
2015-11-12,105000.0,31000,Toulouse,31555822AB0325,Appartement,36.0,36.0,2.0,1,103000,108000,Ancien
2015-11-18,95000.0,31200,Toulouse,31555830AX0268,Appartement,61.0,61.0,3.0,1,97000,102000,Renove
2015-11-23,238350.0,31400,Toulouse,31555813AB0276,Appartement,74.0,74.0,3.0,1,227000,238350,Renove
2015-12-09,107000.0,31200,Toulouse,31555801AD0130,Appartement,39.0,39.0,2.0,1,102000,107000,Ancien
2015-12-10,245500.0,31000,Toulouse,31555821AB0069,Appartement,55.0,55.0,3.0,1,244000,256000,Renove
2016-02-01,243000.0,31200,Toulouse,31555833AO0353,Appartement,50.0,309.0,2.0,1,231000,243000,Renove
2016-02-11,86000.0,31500,Toulouse,31555835AE0272,Appartement,43.0,43.0,2.0,1,88000,92000,Ancien
2016-03-18,70000.0,31000,Toulouse,31555809AB0182,Appartement,30.0,30.0,1.0,1,69000,72000,Ancien
2016-04-20,133980.0,31200,Toulouse,31555829AL0498,Appartement,51.0,51.0,3.0,1,129000,135000,Ancien
2016-04-22,112000.0,31500,Toulouse,31555834AC0042,Appartement,72.0,72.0,3.0,1,110000,116000,Ancien
2016-05-23,184000.0,31500,Toulouse,31555806AD0499,Appartement,38.0,38.0,1.0,1,191000,201000,Renove
2016-05-26,126185.0,31000,Toulouse,31555821AB0482,Appartement,33.0,33.0,1.0,1,122000,128000,Renove
2016-06-22,82000.0,31400,Toulouse,31555811AC0283,Appartement,26.0,26.0,1.0,1,84000,88000,Renove
2016-07-12,81000.0,31400,Toulouse,31555839AC0180,Appartement,20.0,20.0,1.0,1,86000,90000,Renove
2016-07-21,55000.0,31100,Toulouse,31555840AS0662,Appartement,50.0,50.0,2.0,1,52000,55000,Ancien
2016-07-25,78000.0,31000,Toulouse,31555814AC0408,Appartement,25.0,25.0,1.0,1,74000,78000,Ancien
2016-07-26,120000.0,31000,Toulouse,31555826AD0392,Appartement,42.0,42.0,2.0,1,128000,134000,Ancien
2016-08-08,59220.0,31300,Toulouse,31555842AD0724,Appartement,27.0,27.0,1.0,1,70000,74000,Renove
2016-08-09,147000.0,31000,Toulouse,31555815AC0263,Appartement,38.0,38.0,2.0,1,153000,161000,Ancien
2016-08-17,175000.0,31400,Toulouse,31555813AD0321,Appartement,66.0,66.0,4.0,1,171000,180000,Ancien
2016-08-24,116100.0,31200,Toulouse,31555830AY0055,Appartement,63.0,63.0,3.0,1,120000,126000,Ancien
2016-09-02,138000.0,31200,Toulouse,31555831AE0297,Appartement,67.0,67.0,3.0,1,148000,155000,Ancien
2016-09-09,118000.0,31000,Toulouse,31555821AC0222,Appartement,32.0,32.0,1.0,1,121000,127000,Renove
2016-09-14,128000.0,31300,Toulouse,31555828AC0359,Appartement,95.0,95.0,4.0,1,125000,131000,Ancien
2016-09-21,115000.0,31500,Toulouse,31555807AB0552,Appartement,43.0,43.0,2.0,1,117000,123000,Ancien
2016-09-28,97000.0,31500,Toulouse,31555807AC0040,Appartement,68.0,68.0,4.0,1,100000,105000,Ancien
2016-09-29,120000.0,31200,Toulouse,31555829AI0182,Appartement,53.0,53.0,3.0,1,122000,128000,Ancien
2016-10-10,126000.0,31000,Toulouse,31555822AB0721,Appartement,32.0,32.0,2.0,1,132000,139000,Renove
2016-10-10,77000.0,31100,Toulouse,31555844AE0467,Appartement,33.0,33.0,1.0,1,78000,82000,Ancien
2016-11-03,71000.0,31300,Toulouse,31555828AL0240,Appartement,20.0,20.0,1.0,1,77000,81000,Ancien
2016-11-09,68940.0,31400,Toulouse,31555838AI0040,Appartement,20.0,20.0,1.0,1,67000,70000,Renove
2016-11-24,75000.0,31400,Toulouse,31555838AH0382,Appartement,26.0,26.0,1.0,1,75000,79000,Ancien
2016-12-16,103000.0,31200,Toulouse,31555831AI0237,Appartement,45.0,45.0,2.0,1,111000,117000,Ancien
2016-12-28,129000.0,31200,Toulouse,31555829AP0177,Appartement,42.0,42.0,2.0,1,128000,134000,Renove
2016-12-30,175000.0,31000,Toulouse,31555822AB0343,Appartement,50.0,50.0,2.0,1,184000,193000,Renove
2017-01-19,62000.0,31400,Toulouse,31555837AH0005,Appartement,28.0,28.0,1.0,1,62000,65000,Ancien
2017-02-03,77000.0,31300,Toulouse,31555828AC0075,Appartement,17.0,17.0,1.0,1,77000,81000,Renove
2017-02-09,120600.0,31100,Toulouse,31555840AT0503,Appartement,60.0,60.0,3.0,1,125000,131000,Ancien
2017-02-17,147000.0,31400,Toulouse,31555839AE0317,Appartement,73.0,73.0,3.0,1,158000,166000,Ancien
2017-02-24,450000.0,31400,Toulouse,31555814AB0054,Appartement,100.0,436.0,4.0,1,429000,450000,Renove
2017-02-28,241000.0,31400,Toulouse,31555811AI0421,Appartement,100.0,254.0,4.0,1,264000,277000,Ancien
2017-03-06,156540.0,31400,Toulouse,31555811AD0046,Appartement,64.0,64.0,4.0,1,170000,178000,Ancien
2017-03-28,168000.0,31400,Toulouse,31555813AD0486,Appartement,60.0,60.0,3.0,1,178000,187000,Ancien
2017-03-30,89000.0,31000,Toulouse,31555822AB0643,Appartement,35.0,35.0,1.0,1,90000,94000,Renove
2017-03-30,65000.0,31000,Toulouse,31555816AB0272,Appartement,25.0,25.0,1.0,1,62000,65000,Ancien
2017-03-30,45000.0,31300,Toulouse,31555844AM0035,Appartement,23.0,23.0,1.0,1,45000,47000,Ancien
2017-03-30,172100.0,31400,Toulouse,31555836AR0091,Appartement,58.0,58.0,2.0,1,164000,172100,Ancien
2017-04-07,150000.0,31300,Toulouse,31555828AL0189,Appartement,48.0,48.0,2.0,1,151000,159000,Ancien
2017-04-19,75000.0,31400,Toulouse,31555811AC0283,Appartement,26.0,26.0,1.0,1,71000,75000,Renove
2017-04-21,72500.0,31100,Toulouse,31555844AE0012,Appartement,27.0,27.0,1.0,1,69000,72500,Ancien
2017-05-22,90000.0,31400,Toulouse,31555814AB0189,Appartement,27.0,27.0,1.0,1,96000,101000,Ancien
2017-06-01,114000.0,31200,Toulouse,31555831AS0080,Appartement,55.0,55.0,3.0,1,121000,127000,Ancien
2017-06-19,138000.0,31500,Toulouse,31555834AC0042,Appartement,89.0,89.0,4.0,1,148000,155000,Ancien
2017-07-07,127000.0,31300,Toulouse,31555846AL0283,Appartement,39.0,39.0,2.0,1,138000,145000,Renove
2017-07-13,226900.0,31100,Toulouse,31555841AR0039,Appartement,80.0,80.0,3.0,1,222000,233000,Renove
2017-07-20,151900.0,31000,Toulouse,31555822AB0062,Appartement,50.0,50.0,3.0,1,154000,162000,Renove
2017-07-27,84000.0,31400,Toulouse,31555812AI0033,Appartement,25.0,25.0,1.0,1,86000,90000,Renove
2017-08-03,147000.0,31000,Toulouse,31555822AB0343,Appartement,31.0,31.0,1.0,1,156000,164000,Renove
2017-08-03,81000.0,31200,Toulouse,31555831AI0280,Appartement,32.0,32.0,1.0,1,80000,84000,Ancien
2017-08-04,85260.0,31500,Toulouse,31555835AB0195,Appartement,38.0,38.0,2.0,1,82000,86000,Ancien
2017-08-11,239500.0,31300,Toulouse,31555844AD0222,Appartement,77.0,77.0,3.0,1,261000,274000,Renove
2017-09-08,79000.0,31000,Toulouse,31555816AB0314,Appartement,22.0,22.0,1.0,1,84000,88000,Renove
2017-09-13,189000.0,31300,Toulouse,31555828AL0291,Appartement,63.0,63.0,3.0,1,189000,198000,Renove
2017-09-18,102000.0,31300,Toulouse,31555846AC0299,Appartement,47.0,47.0,2.0,1,108000,113000,Ancien
2017-09-19,85000.0,31000,Toulouse,31555821AC0214,Appartement,20.0,20.0,1.0,1,93000,98000,Ancien
2017-10-06,180590.0,31500,Toulouse,31555834AB0150,Appartement,66.0,66.0,3.0,1,172000,181000,Ancien
2017-10-12,62000.0,31300,Toulouse,31555846AC0254,Appartement,18.0,18.0,1.0,1,60000,63000,Renove
2017-10-24,380029.0,31000,Toulouse,31555820AB0047,Appartement,123.0,123.0,5.0,1,364000,382000,Renove
